Datum;Kategorie;Flugpassagiere;Luftfracht;Flugbewegungen
20.05.2019;Andere Kategorien;13;;18
20.05.2019;Fracht Express;0;153;13
20.05.2019;Fracht Cargo;0;47;2
21.05.2019;Fracht Cargo;0;;
21.05.2019;Andere Kategorien;7;;19
21.05.2019;Passagierverkehr;22459;2;209
21.05.2019;Fracht Express;0;210;20
22.05.2019;Passagierverkehr;24536;1;228
22.05.2019;Fracht Cargo;0;41;2
22.05.2019;Fracht Express;0;192;18
22.05.2019;Andere Kategorien;0;;76
23.05.2019;Passagierverkehr;26188;1;230
23.05.2019;Fracht Express;0;213;17
23.05.2019;Andere Kategorien;9;;103
23.05.2019;Fracht Cargo;0;;
24.05.2019;Fracht Express;0;170;14
24.05.2019;Andere Kategorien;11;;103
24.05.2019;Fracht Cargo;0;62;2
24.05.2019;Passagierverkehr;30226;0;249
25.05.2019;Passagierverkehr;28710;1;232
25.05.2019;Fracht Express;0;54;4
25.05.2019;Fracht Cargo;0;138;6
25.05.2019;Andere Kategorien;7;;51
26.05.2019;Andere Kategorien;4;;103
26.05.2019;Passagierverkehr;30674;;238
26.05.2019;Fracht Express;0;;
26.05.2019;Fracht Cargo;0;17;2
27.05.2019;Andere Kategorien;21;;100
27.05.2019;Passagierverkehr;28290;1;240
27.05.2019;Fracht Express;0;160;12
27.05.2019;Fracht Cargo;0;50;2
28.05.2019;Fracht Express;0;197;20
28.05.2019;Andere Kategorien;4;0;40
28.05.2019;Passagierverkehr;24239;1;212
28.05.2019;Fracht Cargo;0;;
29.05.2019;Fracht Express;0;227;20
29.05.2019;Passagierverkehr;28232;1;234
29.05.2019;Fracht Cargo;0;43;2
29.05.2019;Andere Kategorien;7;;43
30.05.2019;Passagierverkehr;28972;0;234
30.05.2019;Fracht Cargo;0;;
30.05.2019;Andere Kategorien;5;;58
30.05.2019;Fracht Express;0;85;9
31.05.2019;Passagierverkehr;29528;2;235
31.05.2019;Fracht Cargo;0;;
31.05.2019;Fracht Express;0;128;14
31.05.2019;Andere Kategorien;7;;93
01.06.2019;Passagierverkehr;28808;1;217
01.06.2019;Fracht Express;0;32;6
01.06.2019;Fracht Cargo;0;102;4
01.06.2019;Andere Kategorien;8;;70
02.06.2019;Fracht Express;0;;
02.06.2019;Fracht Cargo;0;;
02.06.2019;Andere Kategorien;9;;77
02.06.2019;Passagierverkehr;32158;0;250
03.06.2019;Fracht Express;0;145;16
03.06.2019;Fracht Cargo;0;20;2
03.06.2019;Passagierverkehr;29175;0;233
03.06.2019;Andere Kategorien;8;;64
04.06.2019;Fracht Express;0;195;21
04.06.2019;Fracht Cargo;0;;
04.06.2019;Andere Kategorien;10;;49
04.06.2019;Passagierverkehr;24903;0;220
05.06.2019;Passagierverkehr;25795;0;235
05.06.2019;Fracht Express;0;191;19
05.06.2019;Fracht Cargo;0;30;2
05.06.2019;Andere Kategorien;25;;66
06.06.2019;Andere Kategorien;7;;37
06.06.2019;Passagierverkehr;26509;0;229
06.06.2019;Fracht Express;0;204;20
06.06.2019;Fracht Cargo;0;;
07.06.2019;Fracht Cargo;0;74;4
07.06.2019;Passagierverkehr;31574;2;248
07.06.2019;Andere Kategorien;13;;65
07.06.2019;Fracht Express;0;154;16
08.06.2019;Passagierverkehr;29652;2;218
08.06.2019;Fracht Express;0;40;7
08.06.2019;Fracht Cargo;0;161;6
08.06.2019;Andere Kategorien;17;;58
09.06.2019;Passagierverkehr;30974;0;251
09.06.2019;Fracht Express;0;;
09.06.2019;Fracht Cargo;0;15;2
09.06.2019;Andere Kategorien;17;;38
10.06.2019;Andere Kategorien;51;;43
